,bw,AIC
0,28,28978.726851059422
1,29,29068.892361589154
2,30,29154.98937214481
3,31,29218.937747210046
4,32,29274.589887078466
5,33,29318.508943641762
6,34,29348.56649559152
7,35,29376.203407250203
8,36,29417.348300774924
9,37,29440.039744078105
10,38,29457.9132079111
11,39,29475.236850589095
12,40,29499.24217385315
13,41,29522.193034801647
14,42,29537.85506628249
15,43,29547.701065907244
16,44,29562.81336389808
17,45,29576.47835581609
18,46,29590.07981351088
19,47,29600.01443808648
20,48,29609.458841187625
21,49,29625.25758244359
22,50,29633.82810744125
23,51,29641.43424967126
24,52,29653.649376381745
25,53,29664.751600379073
26,54,29678.573748047966
27,55,29685.19236119537
28,56,29695.691868852973
29,57,29706.063158644924
30,58,29715.860420796904
31,59,29720.003504577497
32,60,29728.35967500675
33,61,29732.03345542149
34,62,29740.78180167256
35,63,29743.85077761518
36,64,29751.4672166801
37,65,29759.799613585914
38,66,29764.11908861776
39,67,29766.198412052036
40,68,29771.66689319761
41,69,29773.6300685526
42,70,29779.271438034757
43,71,29783.80940641908
44,72,29786.824494839406
45,73,29791.258753673563
46,74,29793.19588943959
47,75,29793.40363357232
48,76,29798.465769841423
49,77,29803.604808816268
50,78,29806.248087435633
51,79,29810.89797205381
52,80,29813.628390097867
53,81,29815.749958017055
54,82,29818.043156389835
55,83,29818.973094257897
56,84,29820.677966199175
57,85,29822.629850659956
58,86,29824.780776605694
59,87,29826.25608188381
60,88,29829.607794539665
61,89,29831.96416846545
62,90,29832.806781482188
63,91,29833.894528447177
64,92,29835.474972835782
65,93,29837.895819645513
66,94,29839.03589139081
67,95,29839.317643533337
68,96,29840.77826497534
69,97,29843.620800082554
70,98,29845.238454443865
71,99,29846.56603159881
72,100,29847.097798224622
73,101,29850.871272478835
74,102,29850.610192938588
75,103,29852.068224492446
76,104,29852.5401667822
77,105,29854.161792432213
78,106,29856.540484674813
79,107,29856.919785253707
80,108,29859.410467377613
81,109,29863.268855016788
82,110,29866.785036520483
83,111,29869.41609675272
84,112,29870.12049862172
85,113,29871.60549410138
86,114,29873.769296675513
87,115,29872.926887249916
88,116,29872.404824489025
89,117,29873.924866125046
90,118,29876.26037199789
91,119,29877.01104653952
92,120,29877.994053699516
93,121,29879.206441680828
94,122,29882.163374870797
95,123,29881.374383725357
96,124,29882.383929004718
97,125,29881.766452596003
98,126,29881.794921539382
99,127,29882.4851475094
100,128,29883.625472346845
101,129,29884.358310298583
102,130,29885.471747387557
103,131,29885.194857506714
104,132,29886.69021089138
105,133,29889.07471150869
106,134,29890.11737039426
107,135,29891.767721780365
108,136,29893.342206266923
109,137,29895.385872066225
110,138,29897.481025129222
111,139,29899.610472872653
112,140,29900.650552817464
113,141,29902.395989356908
114,142,29903.42268868692
115,143,29903.843497050064
116,144,29904.544720736874
117,145,29905.17791923385
118,146,29907.16149778356
119,147,29907.764871913823
120,148,29909.021937428683
121,149,29910.755009510274
122,150,29911.5468356889
123,151,29912.576402699637
124,152,29914.62486441122
125,153,29915.02100870873
126,154,29916.9512751008
127,155,29917.586760266826
128,156,29920.09995671514
129,157,29921.458063221173
130,158,29922.742638148655
131,159,29924.434980218964
132,160,29925.78625089017
133,161,29926.63445198206
134,162,29927.70528006245
135,163,29928.084145411864
136,164,29928.864936126716
137,165,29929.969983424162
138,166,29930.81544457637
139,167,29931.3561562878
140,168,29931.986602987858
141,169,29932.903967548536
142,170,29933.827069699422
143,171,29933.635685478122
144,172,29933.701572247624
145,173,29935.465446447357
146,174,29936.12819882557
147,175,29936.486384663865
148,176,29937.85303840337
149,177,29939.136125596695
150,178,29940.137622302715
151,179,29941.025624191177
152,180,29941.89851253414
153,181,29942.33817133144
154,182,29943.097159525725
155,183,29944.285695493047
156,184,29945.128163929334
157,185,29945.044556055713
158,186,29946.52258396206
159,187,29947.888343995775
160,188,29948.677402878897
161,189,29949.6323880112
162,190,29950.041724779345
163,191,29951.125139491643
164,192,29951.980161510353
165,193,29952.787417057923
166,194,29952.83450000643
167,195,29953.41836247503
168,196,29953.589883792367
169,197,29954.330663842735
170,198,29955.468973478997
171,199,29956.371798747663
172,200,29957.116065264876
173,201,29957.650330380053
174,202,29958.54139768968
175,203,29958.966619603965
176,204,29959.753812631403
177,205,29960.144384459192
178,206,29961.048326029646
179,207,29961.9547174734
180,208,29963.17780397305
181,209,29963.66089820304
182,210,29964.247158745147
183,211,29964.92727973562
184,212,29965.586152521257
185,213,29966.588203638225
186,214,29967.619985052224
187,215,29969.4157380222
188,216,29969.690932208687
189,217,29970.785842810506
190,218,29971.33640887793
191,219,29972.264542313365
192,220,29973.00285530534
193,221,29973.56584874182
194,222,29974.320330732917
195,223,29974.92002337182
196,224,29975.435674481345
197,225,29976.57263874425
198,226,29977.015816062478
199,227,29977.60855008483
200,228,29978.004596698727
201,229,29977.91006514889
202,230,29978.612752424062
203,231,29979.716173001154
204,232,29979.98787474409
205,233,29980.090455418343
206,234,29980.22158319094
207,235,29981.029495538183
208,236,29981.19647348835
209,237,29981.67593371106
210,238,29982.24586937024
211,239,29983.13087294857
212,240,29983.686481523437
213,241,29984.182978648176
214,242,29984.646512066993
215,243,29985.517139825555
216,244,29986.05729216966
217,245,29986.429291261316
218,246,29987.003352546824
219,247,29987.406108312574
220,248,29988.43434154027
221,249,29988.77816937943
222,250,29989.406520380464
